--------- beginning of main
10-25 18:34:06.513  9332  9332 I om.projectdeto: Late-enabling -Xcheck:jni
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_core.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_debug.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_graphics.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_imagemanager.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_leakchecker.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_mapbuffer.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_mounting.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_runtimescheduler.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_scheduler.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_telemetry.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_templateprocessor.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_textlayoutmanager.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_uimanager.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_utils.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreactnativeblob.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreactnativejni.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreactperfloggerjni.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/librrc_image.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/librrc_root.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/librrc_scrollview.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/librrc_text.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/librrc_textinput.so: deferring to libdir
10-25 18:34:06.747  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/librrc_unimplementedview.so: deferring to libdir
10-25 18:34:06.748  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/librrc_view.so: deferring to libdir
10-25 18:34:06.748  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libruntimeexecutor.so: deferring to libdir
10-25 18:34:06.748  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libturbomodulejsijni.so: deferring to libdir
10-25 18:34:06.748  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libyoga.so: deferring to libdir
10-25 18:34:06.748  9332  9332 V fb-UnpackingSoSource: regenerating DSO store com.facebook.soloader.ApkSoSource
10-25 18:34:06.748  9332  9332 V fb-UnpackingSoSource: Finished regenerating DSO store com.facebook.soloader.ApkSoSource
10-25 18:34:06.748  9332  9332 V fb-UnpackingSoSource: starting syncer worker
10-25 18:34:06.750  9332  9332 V fb-UnpackingSoSource: releasing dso store lock for /data/user/0/com.projectdetox/lib-main (from syncer thread)
10-25 18:34:06.750  9332  9332 V fb-UnpackingSoSource: not releasing dso store lock for /data/user/0/com.projectdetox/lib-main (syncer thread started)
10-25 18:34:06.753  9332  9332 V SoLoader: libjscexecutor.so not found on /data/data/com.projectdetox/lib-main
10-25 18:34:06.754  9332  9332 V SoLoader: libjscexecutor.so not found on /data/app/~~TdDSS7T48A8AGNzupl6B4Q==/com.projectdetox-8qq3nNFe1hFMxu2Mt2ynPw==/lib/arm64
10-25 18:34:06.754  9332  9332 V SoLoader: libjscexecutor.so not found on /system/lib64
10-25 18:34:06.754  9332  9332 V SoLoader: libjscexecutor.so not found on /vendor/lib64
10-25 18:34:06.754  9332  9332 E SoLoader: couldn't find DSO to load: libjscexecutor.so
10-25 18:34:06.754  9332  9332 E SoLoader: 	SoSource 0: com.facebook.soloader.ApkSoSource[root = /data/data/com.projectdetox/lib-main flags = 1]
10-25 18:34:06.754  9332  9332 E SoLoader: 	SoSource 1: com.facebook.soloader.DirectorySoSource[root = /data/app/~~TdDSS7T48A8AGNzupl6B4Q==/com.projectdetox-8qq3nNFe1hFMxu2Mt2ynPw==/lib/arm64 flags = 0]
10-25 18:34:06.754  9332  9332 E SoLoader: 	SoSource 2: com.facebook.soloader.DirectorySoSource[root = /system/lib64 flags = 2]
10-25 18:34:06.754  9332  9332 E SoLoader: 	SoSource 3: com.facebook.soloader.DirectorySoSource[root = /vendor/lib64 flags = 2]
10-25 18:34:06.754  9332  9332 E SoLoader: 	Native lib dir: /data/app/~~TdDSS7T48A8AGNzupl6B4Q==/com.projectdetox-8qq3nNFe1hFMxu2Mt2ynPw==/lib/arm64
10-25 18:34:06.754  9332  9332 E SoLoader:  result: 0
10-25 18:34:06.755  9332  9332 V SoLoader: libhermes.so not found on /data/data/com.projectdetox/lib-main
10-25 18:34:06.755  9332  9332 D SoLoader: libhermes.so found on /data/app/~~TdDSS7T48A8AGNzupl6B4Q==/com.projectdetox-8qq3nNFe1hFMxu2Mt2ynPw==/lib/arm64
10-25 18:34:06.755  9332  9332 D SoLoader: Not resolving dependencies for libhermes.so
