--------- beginning of main
10-25 18:32:37.134  9093  9093 I om.projectdeto: Late-enabling -Xcheck:jni
10-25 18:32:37.141  9093  9093 I om.projectdeto: Unquickening 12 vdex files!
--------- beginning of system
10-25 18:32:37.152  9093  9093 W ActivityThread: Package uses different ABI(s) than its instrumentation: package[com.projectdetox]: arm64-v8a, null instrumentation[com.projectdetox.test]: null, null
10-25 18:32:37.153  9093  9093 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:32:37.153  9093  9093 I chatty  : uid=10213(com.projectdetox) identical 1 line
10-25 18:32:37.153  9093  9093 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:32:37.249  9093  9093 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
10-25 18:32:37.249  9093  9093 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
10-25 18:32:37.249  9093  9093 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:32:37.250  9093  9093 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
10-25 18:32:37.250  9093  9093 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
10-25 18:32:37.250  9093  9093 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:32:37.251  9093  9093 I chatty  : uid=10213(com.projectdetox) identical 2 lines
10-25 18:32:37.251  9093  9093 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:32:37.340  9093  9093 W om.projectdeto: Accessing hidden method Landroid/app/Instrumentation;->execStartActivity(Landroid/content/Context;Landroid/os/IBinder;Landroid/os/IBinder;Landroid/app/Activity;Landroid/content/Intent;ILandroid/os/Bundle;)Landroid/app/Instrumentation$ActivityResult; (greylist, linking, allowed)
10-25 18:32:37.340  9093  9093 W om.projectdeto: Accessing hidden method Landroid/app/Instrumentation;->execStartActivity(Landroid/content/Context;Landroid/os/IBinder;Landroid/os/IBinder;Ljava/lang/String;Landroid/content/Intent;ILandroid/os/Bundle;)Landroid/app/Instrumentation$ActivityResult; (greylist, linking, allowed)
10-25 18:32:37.342  9093  9093 D NetworkSecurityConfig: Using Network Security Config from resource network_security_config debugBuild: true
10-25 18:32:37.342  9093  9093 D NetworkSecurityConfig: Using Network Security Config from resource network_security_config debugBuild: true
10-25 18:32:37.345  9093  9093 I MonitoringInstr: Instrumentation started!
10-25 18:32:37.348  9093  9093 V TestEventClient: No service name argument was given (testDiscoveryService, testRunEventService or orchestratorService)
10-25 18:32:37.350  9093  9093 V fb-UnpackingSoSource: locked dso store /data/user/0/com.projectdetox/lib-main
10-25 18:32:37.351  9093  9093 V fb-UnpackingSoSource: deps mismatch on deps store: regenerating
10-25 18:32:37.351  9093  9093 V fb-UnpackingSoSource: so store dirty: regenerating
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libc++_shared.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libevent-2.1.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libevent_core-2.1.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libevent_extra-2.1.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libfabricjni.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libfb.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libfbjni.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libflipper.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libfolly_runtime.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libglog.so: deferring to libdir
10-25 18:32:37.367  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libglog_init.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libhermes-executor-debug.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libhermes.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libimagepipeline.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libjsi.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libjsijniprofiler.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libjsinspector.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/liblogger.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libmapbufferjni.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libnative-filters.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libnative-imagetranscoder.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_codegen_rncore.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_config.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_debug.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_nativemodule_core.so: deferring to libdir
10-25 18:32:37.368  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_animations.so: deferring to libdir
10-25 18:32:37.369  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_attributedstring.so: deferring to libdir
10-25 18:32:37.369  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_componentregistry.so: deferring to libdir
10-25 18:32:37.369  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_core.so: deferring to libdir
10-25 18:32:37.369  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_debug.so: deferring to libdir
10-25 18:32:37.369  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_graphics.so: deferring to libdir
10-25 18:32:37.369  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_imagemanager.so: deferring to libdir
10-25 18:32:37.369  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_leakchecker.so: deferring to libdir
10-25 18:32:37.369  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_mapbuffer.so: deferring to libdir
10-25 18:32:37.369  9093  9093 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libreact_render_mounting.so: deferring to libdir
